Experiment ID,Model Name,Accuracy,Precision,Recall,Macro F1,Balanced Accuracy,ROC-AUC,Training Time (s),Inference Time/Sample (s),Model Size (KB),Memory Usage (MB),Feature Count,Best Hyperparameters
experiment_004,RANDOM_FOREST,,,,1.0,,,0.0,0.0,0.0,0.0,0,{}
experiment_008,RANDOM_FOREST,,,,0.43364333315387377,,,0.0,0.0,0.0,0.0,0,{}
experiment_012,RANDOM_FOREST,,,,0.43364333315387377,,,0.0,0.0,0.0,0.0,0,{}
experiment_016,RANDOM_FOREST,,,,0.44479718895686504,,,0.0,0.0,0.0,0.0,0,{}
experiment_020,RANDOM_FOREST,,,,0.43566026673704716,,,0.0,0.0,0.0,0.0,0,{}
experiment_024,RANDOM_FOREST,,,,0.29239256201467073,,,0.0,0.0,0.0,0.0,0,{}
experiment_035,XGBOOST,0.49350565843621397,,,0.18184226132470166,0.3386491402116402,,9.11257290840149,1.131065588429141e-07,275.583984375,376.16796875,30,{}
experiment_036,LIGHTGBM,0.47630401234567904,,,0.18173178358782013,0.3353290343915344,,5.783173084259033,1.4169655219027043e-07,89.064453125,252.1640625,30,{}
experiment_049,RANDOM_FOREST,0.31554526748971196,,,0.14664957052618033,0.22246858465608466,,117.77348160743713,1.1980190198607897e-06,156084.5224609375,1132.44140625,30,{}
experiment_050,XGBOOST,0.49350565843621397,,,0.18184226132470166,0.3386491402116402,,7.078740119934082,1.121168273957178e-07,275.583984375,20.0234375,30,{}
experiment_051,LIGHTGBM,0.48291666666666666,,,0.1830706373210797,0.33856316137566134,,4.513204336166382,1.6484118292851703e-07,88.943359375,6.8046875,30,{}
